"","hh_ID","freq_mean","pct_meat_mean","pct_fish_mean","pct_protein_mean","meat_calories_mean","fish_calories_mean","protein_calories_mean","calories_total_grams_mean","avg_calories_pp_mean","freq_sd","pct_meat_sd","pct_fish_sd","pct_protein_sd","meat_calories_sd","fish_calories_sd","protein_calories_sd","calories_total_grams_sd","avg_calories_pp_sd","freq_var","pct_meat_var","pct_fish_var","pct_protein_var","meat_calories_var","fish_calories_var","protein_calories_var","calories_total_grams_var","avg_calories_pp_var","numChildren","hh_members","sex","age","maritalStatus","literacy","education","attendingCollege","occupationType","canCarry20L","canWalk5Km","canStandOwn","pctCanCarry20L","pctCanWalk5Km","pctCanStandOwn","totalCultivablePlot","totalOwnPlot"
"53",116167,17.6011904761905,0.0952380952380952,0.0595238095238095,0.154761904761905,217.916666666667,191.904761904762,409.821428571429,2158.59092268117,539.647730670293,9.83544602844913,0.0837568820981141,0.0424157568123227,0.0854503438084665,1001.65466338285,944.419873978366,1345.86507638691,2510.22935439196,627.55733859799,96.7359985785358,0.00701521529879739,0.0017990964259621,0.00730176125698514,1003312.06467662,891928.898365312,1811352.80383795,6301251.41165107,393828.213228192,2,4,"0",52,"2","4","4","0","trader","1","1","1",0.25,0.5,0.75,3,3
"54",116168,4.5,0.0625,0.3125,0.375,1214.0625,4898.75,6112.8125,6503.484375,1300.696875,1.36626010212795,0.111803398874989,0.0833333333333333,0.105409255338946,4856.25,8663.41301104824,9270.92910999216,9115.56576570573,1823.11315314115,1.86666666666667,0.0125,0.00694444444444444,0.0111111111111111,23583164.0625,75054725,85950126.5625,83093539.2289062,3323741.56915625,2,5,"0",50,"2","4","3","0","salaried","1","1","1",0.8,1,1,0,0
"55",116171,1.2,0,0.1,0.1,0,0.125,0.125,1213.75,303.4375,0.421637021355784,0,0.316227766016838,0.316227766016838,0,0.395284707521047,0.395284707521047,1972.44979868521,493.112449671303,0.177777777777778,0,0.1,0.1,0,0.15625,0.15625,3890558.20833333,243159.888020833,0,4,"1",48,"3","4","2","0","nonearning","0","1","1",0,1,1,1,1
"56",116175,5,0.0588235294117647,0.201680672268908,0.260504201680672,423.739495798319,1086.05042016807,1509.78991596639,4617.89915966387,1154.47478991597,4.73536997641782,0.163944198533023,0.211347071302026,0.239800073136682,2217.92306442267,2517.16386626688,3213.57926505304,3651.5244956439,912.881123910974,22.4237288135593,0.0268777002326353,0.0446675845479435,0.0575040750763582,4919182.71969805,6336113.92963964,10327091.6927788,13333631.1422874,833351.946392964,1,4,"0",50,"2","4","2","0","wage","1","1","1",0.5,1,1,1,1
"57",116180,2.53125,0.25,0.046875,0.296875,1572.265625,93.75,1666.015625,6929.3671875,1154.89453125,1.75452928612577,0.327326835353989,0.115164856039139,0.310799416665876,3722.64924543179,435.297745209101,3707.84605462947,5746.32332365813,957.720553943021,3.07837301587302,0.107142857142857,0.0132629440665155,0.0965962773998488,13858117.4045139,189484.126984127,13748122.3648313,33020231.7400174,917228.659444927,2,6,"0",33,"2","4","2","0","farming","1","1","0",0.666666666666667,0.833333333333333,0,0,0
"58",116180,2.53125,0.25,0.046875,0.296875,1572.265625,93.75,1666.015625,6929.3671875,1154.89453125,1.75452928612577,0.327326835353989,0.115164856039139,0.310799416665876,3722.64924543179,435.297745209101,3707.84605462947,5746.32332365813,957.720553943021,3.07837301587302,0.107142857142857,0.0132629440665155,0.0965962773998488,13858117.4045139,189484.126984127,13748122.3648313,33020231.7400174,917228.659444927,2,6,"0",33,"2","4","2","0","farming","1","1","0",0.666666666666667,0.833333333333333,0,0,0
"59",117186,2.87878787878788,0.181818181818182,0.454545454545455,0.636363636363636,1182.57575757576,1359.09090909091,2541.66666666667,3193.18181818182,638.636363636364,1.55638956718698,0.209843014916129,0.178110877962254,0.226133508433323,3710.37652259093,1792.71331303342,3696.72926945789,3344.80282915288,668.960565830576,2.42234848484848,0.0440340909090909,0.0317234848484848,0.0511363636363637,13766893.939394,3213821.02272727,13665807.2916667,11187705.9659091,447508.238636364,0,5,"0",23,"2","4","2","0","trader","1","1","1",1,1,1,1,0
"60",117193,1.84615384615385,0.307692307692308,0.230769230769231,0.538461538461538,1086.53846153846,642.307692307692,1728.84615384615,3390.34615384615,1130.11538461538,0.784464540552736,0.418176750754743,0.371414482685743,0.406359699192975,2530.753156367,1547.68810215058,2710.79962656494,2925.24240284196,975.080800947321,0.615384615384615,0.174871794871795,0.137948717948718,0.165128205128205,6404711.53846154,2395338.46153846,7348434.61538462,8557043.11538461,950782.568376068,1,3,"0",32,"2","4","2","0","wage","1","1","1",0.666666666666667,0.666666666666667,1,1,1
"61",118198,2,0,0,0,0,0,0,15000,3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,"0",35,"2","4","2","0","farming","1","1","1",0.25,0.5,1,1,0
"62",118212,7.45637583892617,0.0939597315436242,0.0805369127516778,0.174496644295302,348.741610738255,410.234899328859,758.976510067114,5773.89261744966,1924.63087248322,2.67544822130214,0.0777837235012904,0.0725113392604747,0.103246971673921,1490.52863094838,1790.7462127584,2267.45501207182,6113.83211578019,2037.9440385934,7.15802318486881,0.00605030764172519,0.00525789432134766,0.0106599371598355,2221675.59967684,3206771.99850855,5141352.23176961,37378943.1399453,4153215.90443836,1,3,"0",48,"2","4","2","0","farming","1","1","1",0.666666666666667,0.666666666666667,1,0,1
"63",119220,2.40540540540541,0.256756756756757,0.162162162162162,0.418918918918919,546.945945945946,178.675675675676,725.621621621622,1026.12702759085,256.531756897714,1.62108469452392,0.38353596906365,0.261818039240945,0.393674532033021,2346.36070807125,1208.68447799475,2601.5759538998,2851.44204794593,712.860511986483,2.6279155868197,0.147099839565593,0.0685486856719733,0.154979637171418,5505408.5723806,1460918.16734543,6768197.44390966,8130721.7527941,508170.109549631,1,4,"0",50,"2","4","3","0","farming","1","1","1",1,1,1,1,1
"64",120224,3.31707317073171,0.25609756097561,0.121951219512195,0.378048780487805,3184.15,780.975609756098,3965.1256097561,7958.76463414634,1591.75292682927,2.02379699843543,0.266998223785953,0.21651431884747,0.301904832467774,6928.72441167212,2295.87478137277,6945.74509575913,6680.0653379229,1336.01306758458,4.09575429087624,0.0712880515048537,0.046878450265984,0.091146527867395,48007221.9729012,5271041.01174345,48243374.935262,44623272.918919,1784930.91675676,0,5,"0",29,"2","2","2","0","trader","1","1","0",0.8,1,0.4,1,2
