"","hh_ID","freq_mean","pct_meat_mean","pct_fish_mean","pct_protein_mean","meat_calories_mean","fish_calories_mean","protein_calories_mean","calories_total_grams_mean","avg_calories_pp_mean","freq_sd","pct_meat_sd","pct_fish_sd","pct_protein_sd","meat_calories_sd","fish_calories_sd","protein_calories_sd","calories_total_grams_sd","avg_calories_pp_sd","freq_var","pct_meat_var","pct_fish_var","pct_protein_var","meat_calories_var","fish_calories_var","protein_calories_var","calories_total_grams_var","avg_calories_pp_var","numChildren","hh_members","sex","age","maritalStatus","literacy","education","attendingCollege","occupationType","canCarry20L","canWalk5Km","canStandOwn","pctCanCarry20L","pctCanWalk5Km","pctCanStandOwn","house_rooms_sleeping","housefloor_material","houseroof_material","house_elec","housewall_material","business","use_lat","count_latrine","main_use_flush","defecation_public","totalCultivablePlot","totalOwnPlot"
"11",109101,3.91228070175439,0.219298245614035,0.0526315789473684,0.271929824561404,2415.5701754386,561.40350877193,2976.97368421053,7967.00877192982,1991.75219298246,2.2244076610714,0.248016506604938,0.133620247116119,0.271619888379682,5639.68769763808,2586.67479755499,5980.02865808466,5988.69728989626,1497.17432247407,4.94798944263313,0.0615121875485174,0.0178543704393728,0.0737773637633908,31806077.3268903,6690886.50830616,35760742.7515138,35864495.2300108,2241530.95187568,0,4,"0",25,"1","4","3","1","nonearning","1","1","1",1,1,1,5,"concrete","tin","0","concrete","1","1",2,"1","0",1,1
"12",110106,17.6466666666667,0.0766666666666667,0.05,0.126666666666667,215.50000055631,323.666669209798,539.166669766108,3818.71000302792,763.742000605583,15.6880700116743,0.066431912115793,0.0631429341581054,0.0916693112489752,1045.95961888462,1577.30770663457,1855.25314570623,3205.43489569351,641.086979138702,246.115540691193,0.00441319894736045,0.00398703013409484,0.0084032626248615,1094031.52433726,2487899.60140879,3441964.23465287,10274812.8705296,410992.514821186,0,5,"0",26,"1","4","4","1","nonearning","1","1","1",0.4,0.6,1,2,"mud","tin","0","tin","1","1",1,"1","1",1,1
"13",110108,3.18181818181818,0.181818181818182,0.181818181818182,0.363636363636364,1181.81818181818,2265.90909090909,3447.72727272727,5730,1146,1.00647255948039,0.201902924111541,0.220683707376187,0.209789284787246,3002.16372188244,5833.83269353038,6118.47762096654,5377.38452090924,1075.47690418185,1.01298701298701,0.0407647907647908,0.0487012987012987,0.044011544011544,9012987.01298701,34033603.8961039,37435768.3982684,28916264.2857143,1156650.57142857,1,5,"0",21,"2","4","4","1","nonearning","1","1","1",0.8,0.8,0.8,2,"concrete","tin","0","concrete","1","1",1,"0","0",1,1
"14",110109,8.54285714285714,0,0.0285714285714286,0.0285714285714286,0,85.7142857142857,85.7142857142857,2292.74285714286,458.548571428571,3.09023944572792,0,0.0946762136662302,0.0946762136662302,0,507.09255283711,507.09255283711,2832.41547657344,566.483095314689,9.54957983193277,0,0.00896358543417367,0.00896358543417367,0,257142.857142857,257142.857142857,8022577.43193277,320903.097277311,1,5,"1",20,"2","4","3","1","nonearning","0","1","0",0.2,0.4,0.4,2,"concrete","tin","0","concrete","0","1",1,"1","0",1,0
"15",110111,3.41304347826087,0.206521739130435,0.0652173913043478,0.271739130434783,524.45652173913,86.9565217391304,611.413043478261,2415.83043478365,603.957608695911,2.53828779321136,0.262966040994567,0.139676325951162,0.247844666713414,1144.78018824906,363.957910652085,1162.22842180158,3573.43620499183,893.359051247957,6.44290492116579,0.0691511387163561,0.0195094760312152,0.0614269788182831,1310521.67940755,132465.360726231,1350774.90444338,12769446.3111464,798090.39444665,0,4,"0",45,"2","4","3","0","trader","1","1","1",1,1,0.75,3,"mud","tin","0","concrete","1","1",1,"0","0",0,1
"16",110111,3.41304347826087,0.206521739130435,0.0652173913043478,0.271739130434783,524.45652173913,86.9565217391304,611.413043478261,2415.83043478365,603.957608695911,2.53828779321136,0.262966040994567,0.139676325951162,0.247844666713414,1144.78018824906,363.957910652085,1162.22842180158,3573.43620499183,893.359051247957,6.44290492116579,0.0691511387163561,0.0195094760312152,0.0614269788182831,1310521.67940755,132465.360726231,1350774.90444338,12769446.3111464,798090.39444665,0,4,"0",45,"2","4","6","0","trader","1","1","0",1,1,0.75,3,"mud","tin","0","concrete","1","1",1,"0","0",0,1
"17",110111,3.41304347826087,0.206521739130435,0.0652173913043478,0.271739130434783,524.45652173913,86.9565217391304,611.413043478261,2415.83043478365,603.957608695911,2.53828779321136,0.262966040994567,0.139676325951162,0.247844666713414,1144.78018824906,363.957910652085,1162.22842180158,3573.43620499183,893.359051247957,6.44290492116579,0.0691511387163561,0.0195094760312152,0.0614269788182831,1310521.67940755,132465.360726231,1350774.90444338,12769446.3111464,798090.39444665,0,4,"0",45,"2","4","3","0","trader","1","1","1",1,1,0.75,3,"mud","tin","0","concrete","1","1",1,"0","0",0,1
"18",110111,3.41304347826087,0.206521739130435,0.0652173913043478,0.271739130434783,524.45652173913,86.9565217391304,611.413043478261,2415.83043478365,603.957608695911,2.53828779321136,0.262966040994567,0.139676325951162,0.247844666713414,1144.78018824906,363.957910652085,1162.22842180158,3573.43620499183,893.359051247957,6.44290492116579,0.0691511387163561,0.0195094760312152,0.0614269788182831,1310521.67940755,132465.360726231,1350774.90444338,12769446.3111464,798090.39444665,0,4,"0",45,"2","4","6","0","trader","1","1","1",1,1,0.75,3,"mud","tin","0","concrete","1","1",1,"0","0",0,1
"19",110112,2.42857142857143,0.214285714285714,0.142857142857143,0.357142857142857,678.571428571429,464.285714285714,1142.85714285714,3792.85714285714,948.214285714286,0.85163062725264,0.280632462047032,0.28387687575088,0.380379606036713,1408.86128128007,1365.28787770601,1780.54195972172,4851.62966842693,1212.90741710673,0.725274725274725,0.0787545787545788,0.0805860805860806,0.144688644688645,1984890.10989011,1864010.98901099,3170329.67032967,23538310.4395604,1471144.40247253,0,4,"0",19,"1","4","4","1","self","1","1","1",0.75,1,0.5,2,"mud","tin","1","concrete","1","1",1,"1","0",1,1
"20",112122,9,0,0.111111111111111,0.111111111111111,0,333.333333333333,333.333333333333,3805.55555555556,634.259259259259,0,0,0,0,0,1000,1000,3116.93403487751,519.489005812918,0,0,0,0,0,1e+06,1e+06,9715277.77777778,269868.827160494,0,6,"0",29,"1","4","3","0","trader","1","1","1",0.666666666666667,0.666666666666667,1,6,"mud","tin","1","concrete","1","1",2,"1","1",2,2
"21",112131,6.4375,0.125,0.15625,0.28125,1164.0625,843.75,2007.8125,5113.90625,2556.953125,2.61432159830325,0.150268576759382,0.129359464159921,0.224955192671068,3547.83519580785,2949.67876873223,4388.62366136914,4752.56819101865,2376.28409550932,6.83467741935484,0.0225806451612903,0.0167338709677419,0.0506048387096774,12587134.5766129,8700604.83870968,19260017.641129,22586904.4102823,5646726.10257056,0,2,"0",40,"2","4","3","0","salaried","1","1","1",1,1,1,1,"mud","other","1","concrete","1","1",2,"1","0",1,1
