"","hh_ID","house_rooms_sleeping","housefloor_material","houseroof_material","house_elec","housewall_material"
"232",229339,2,"mud","other","1","other"
"233",229340,3,"concrete","tin","1","concrete"
"234",229341,3,"mud","tin","1","tin"
"235",229342,2,"mud","tin","1","tin"
"236",229343,2,"mud","tin","1","tin"
"237",229344,6,"concrete","other","1","concrete"
"238",229345,3,"mud","other","1","other"
"239",230346,2,"mud","other","1","tin"
"240",230347,3,"mud","tin","1","other"
"241",230348,3,"concrete","tin","1","concrete"
"242",230349,3,"mud","tin","1","concrete"
"243",230350,1,"concrete","tin","1","concrete"
"244",230351,1,"mud","tin","0","other"
"245",230353,2,"mud","tin","1","concrete"
"246",230355,4,"concrete","tin","1","concrete"
"247",230357,4,"concrete","tin","1","concrete"
"248",231358,3,"mud","tin","0","tin"
"249",231360,2,"mud","tin","1","tin"
"250",231361,3,"mud","tin","1","tin"
"251",231362,2,"mud","other","1","other"
"252",231363,3,"mud","tin","1","tin"
"253",231364,3,"mud","other","1","tin"
"254",231365,3,"mud","tin","1","tin"
"255",231366,3,"mud","tin","1","tin"
"256",231367,2,"mud","tin","1","other"
"257",231368,3,"concrete","tin","1","concrete"
"258",231369,2,"mud","tin","1","other"
"259",232370,2,"mud","other","1","other"
"260",232372,4,"mud","tin","1","tin"
"261",232373,4,"mud","other","1","tin"
"262",232377,4,"concrete","tin","1","concrete"
"263",232378,2,"other","other","1","tin"
"264",232380,2,"mud","other","1","other"
"265",233383,4,"mud","other","1","other"
"266",233385,3,"mud","other","1","concrete"
"267",233386,1,"mud","tin","0","other"
"268",233388,4,"mud","tin","1","tin"
"269",233393,2,"concrete","other","1","concrete"
"270",233394,1,"concrete","other","1","concrete"
"271",233395,2,"concrete","tin","1","tin"
"272",234397,3,"concrete","tin","1","concrete"
"273",234398,3,"concrete","tin","0","concrete"
"274",234399,2,"mud","tin","1","tin"
"275",234400,1,"mud","tin","1","tin"
"276",234401,2,"mud","tin","1","tin"
"277",234402,1,"mud","tin","1","tin"
"278",234405,5,"mud","other","1","tin"
"279",234406,2,"concrete","tin","1","concrete"
"280",235407,3,"concrete","tin","1","concrete"
"281",235413,3,"concrete","tin","1","concrete"
"282",235414,3,"concrete","tin","1","concrete"
"283",235415,2,"mud","tin","1","other"
"284",235416,4,"concrete","tin","1","concrete"
"285",235417,3,"concrete","tin","1","concrete"
"286",235418,4,"concrete","tin","1","concrete"
"287",236419,3,"mud","tin","1","other"
"288",236421,2,"concrete","tin","1","concrete"
"289",236424,3,"mud","tin","1","tin"
"290",236425,4,"mud","other","1","tin"
"291",236426,3,"concrete","other","1","concrete"
"292",236427,4,"concrete","other","1","concrete"
"293",236429,2,"mud","other","1","other"
"294",236430,2,"mud","other","1","other"
"295",237431,2,"mud","tin","1","tin"
"296",237432,3,"mud","tin","1","concrete"
"297",237433,2,"mud","tin","1","tin"
"298",237434,4,"concrete","tin","1","concrete"
"299",237435,3,"concrete","other","1","concrete"
"300",237436,1,"mud","tin","1","tin"
"301",237437,1,"mud","other","1","other"
"302",237438,3,"mud","other","1","tin"
"303",237439,3,"concrete","tin","1","concrete"
"304",237440,2,"mud","tin","1","tin"
"305",237441,3,"mud","tin","1","tin"
"306",237442,2,"mud","tin","1","concrete"
"307",237443,3,"mud","tin","1","tin"
"308",238446,3,"mud","tin","1","tin"
"309",238447,3,"mud","tin","0","tin"
"310",238448,4,"concrete","tin","1","concrete"
"311",238449,2,"mud","other","0","tin"
"312",238452,3,"mud","tin","1","other"
"313",238453,2,"mud","other","1","concrete"
"314",238454,2,"mud","other","0","concrete"
"315",238455,1,"mud","other","1","tin"
"316",239456,3,"other","tin","1","concrete"
"317",239457,4,"concrete","tin","1","concrete"
"318",239458,4,"concrete","other","1","concrete"
